% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels),District,State,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),g_read_inv,g_math_inv,need_score,Optimized_Hours_Statewise,Priority_Score_Statewise
74.80,1.10,66.80,21.90,Morigaon,AS,34.30,44.40,2.92,2.25,2.58,1.00,2.58
62.80,0.60,54.90,13.80,Nagaon,AS,20.80,25.70,4.81,3.89,4.35,5.00,21.75
75.90,0.00,60.10,37.20,Nalbari,AS,28.90,52.20,3.46,1.92,2.69,1.00,2.69
80.40,1.00,73.50,36.30,Sivasagar,AS,44.60,53.40,2.24,1.87,2.06,1.00,2.06
67.80,2.40,47.40,16.80,Sonitpur,AS,16.80,28.30,5.95,3.53,4.74,5.00,23.71
73.50,0.30,60.60,33.40,Sribhumi,AS,30.40,45.10,3.29,2.22,2.75,1.00,2.75
73.50,1.10,56.30,23.00,Tinsukia,AS,23.50,35.00,4.26,2.86,3.56,1.00,3.56
56.00,1.20,64.50,25.50,Udalguri,AS,35.10,40.10,2.85,2.49,2.67,1.00,2.67
76.80,9.00,60.80,50.20,Araria,BR,20.80,35.80,4.81,2.79,3.80,5.00,19.00
85.00,0.90,73.70,57.50,Arwal,BR,48.50,51.30,2.06,1.95,2.01,1.00,2.01
71.40,1.40,78.10,75.40,Aurangabad,BR,61.70,75.90,1.62,1.32,1.47,1.00,1.47
80.70,4.10,62.20,62.20,Banka,BR,29.20,46.30,3.42,2.16,2.79,4.00,11.17
86.30,1.20,63.50,49.80,Begusarai,BR,27.60,38.80,3.62,2.58,3.10,5.00,15.50
77.50,5.00,69.80,63.20,Bhagalpur,BR,44.10,55.10,2.27,1.81,2.04,1.00,2.04
72.00,1.50,67.70,58.10,Bhojpur,BR,34.70,51.30,2.88,1.95,2.42,1.00,2.42
80.10,3.00,65.10,55.80,Bihar,BR,35.70,47.80,2.80,2.09,2.45,1.00,2.45
78.20,1.40,67.30,50.40,Buxar,BR,38.40,54.10,2.60,1.85,2.23,1.00,2.23
79.70,2.80,66.30,52.20,Darbhanga,BR,47.50,51.20,2.11,1.95,2.03,1.00,2.03
80.30,2.30,51.80,46.70,East Champaran,BR,25.30,39.90,3.95,2.51,3.23,5.00,16.15
74.90,0.90,73.70,64.80,Gaya,BR,48.60,64.90,2.06,1.54,1.80,1.00,1.80
60.70,1.20,70.00,56.60,Gopalganj,BR,40.20,48.40,2.49,2.07,2.28,1.00,2.28
83.30,3.40,50.10,38.80,Jamui,BR,33.40,41.50,2.99,2.41,2.70,1.00,2.70
73.00,0.90,80.60,69.80,Jehanabad,BR,51.70,65.10,1.93,1.54,1.74,1.00,1.74
78.60,3.60,69.50,50.30,Kaimur,BR,50.30,50.30,1.99,1.99,1.99,1.00,1.99
87.20,5.00,55.40,52.70,Katihar,BR,27.80,45.00,3.60,2.22,2.91,5.00,14.55
83.40,2.70,73.30,59.90,Khagaria,BR,37.70,51.60,2.65,1.94,2.30,1.00,2.30
78.50,3.80,57.60,38.50,Kishanganj,BR,25.60,29.60,3.91,3.38,3.64,5.00,18.21
82.00,3.60,74.20,65.40,Lakhisarai,BR,41.60,61.10,2.40,1.64,2.02,1.00,2.02
88.90,6.10,68.30,62.80,Madhepura,BR,24.00,44.40,4.17,2.25,3.21,5.00,16.05
82.90,4.50,63.20,57.70,Madhubani,BR,34.10,40.90,2.93,2.44,2.69,1.00,2.69
79.50,2.40,71.10,58.80,Munger,BR,39.20,55.10,2.55,1.81,2.18,1.00,2.18
84.60,1.60,59.50,49.00,Muzaffarpur,BR,27.60,40.00,3.62,2.50,3.06,5.00,15.31
74.90,1.70,69.70,61.00,Nalanda,BR,46.70,59.30,2.14,1.69,1.91,1.00,1.91
76.60,2.80,70.30,66.60,Nawada,BR,40.10,61.70,2.49,1.62,2.06,1.00,2.06
71.70,3.60,68.10,59.20,Patna,BR,42.80,55.60,2.34,1.80,2.07,1.00,2.07
86.90,3.10,57.00,46.90,Purnia,BR,27.00,40.10,3.70,2.49,3.10,5.00,15.49
79.70,0.80,77.80,62.70,Rohtas,BR,54.10,66.50,1.85,1.50,1.68,1.00,1.68
86.80,2.60,71.50,64.40,Saharsa,BR,37.80,54.70,2.65,1.83,2.24,1.00,2.24
79.20,1.60,65.70,61.60,Samastipur,BR,40.20,52.60,2.49,1.90,2.19,1.00,2.19
83.50,0.20,67.40,60.40,Saran,BR,38.20,51.80,2.62,1.93,2.27,1.00,2.27
88.80,0.90,63.50,62.80,Sheikhpura,BR,35.10,56.00,2.85,1.79,2.32,1.00,2.32
85.10,3.90,68.90,59.20,Sheohar,BR,37.70,40.50,2.65,2.47,2.56,1.00,2.56
83.00,4.20,57.10,48.20,Sitamarhi,BR,26.20,36.80,3.82,2.72,3.27,5.00,16.34
57.90,1.30,72.40,59.70,Siwan,BR,42.10,59.90,2.38,1.67,2.02,1.00,2.02
87.90,4.40,66.70,54.60,Supaul,BR,32.10,42.30,3.12,2.36,2.74,1.00,2.74
74.50,1.60,62.90,55.00,Vaishali,BR,34.00,43.70,2.94,2.29,2.61,1.00,2.61
81.50,4.20,68.70,53.80,West Champaran,BR,38.10,41.80,2.62,2.39,2.51,1.00,2.51
77.50,1.70,66.20,21.20,Ahmedabad,GJ,42.70,28.90,2.34,3.46,2.90,1.00,2.90
96.30,0.30,78.80,44.90,Amreli,GJ,45.80,40.90,2.18,2.44,2.31,1.00,2.31
82.90,0.70,66.70,16.20,Anand,GJ,41.80,28.80,2.39,3.47,2.93,1.00,2.93
85.70,1.00,79.40,32.90,Banaskantha,GJ,48.50,32.20,2.06,3.11,2.58,1.00,2.58
87.60,1.10,66.40,28.00,Bharuch,GJ,40.80,33.40,2.45,2.99,2.72,1.00,2.72
93.70,0.80,64.50,26.90,Bhavnagar,GJ,40.70,37.20,2.46,2.69,2.57,1.00,2.57
88.50,0.40,56.20,19.20,Dahod,GJ,26.00,12.90,3.85,7.75,5.80,5.00,29.00
88.50,0.20,69.40,25.10,Gandhinagar,GJ,35.00,25.40,2.86,3.94,3.40,1.00,3.40
86.50,1.00,67.60,25.10,Gujarat,GJ,38.10,29.10,2.62,3.44,3.03,1.00,3.03
95.60,0.20,66.00,25.10,Jamnagar,GJ,37.20,30.60,2.69,3.27,2.98,1.00,2.98
85.70,0.00,62.30,22.40,Junagadh,GJ,33.00,32.30,3.03,3.10,3.06,1.00,3.06
88.80,4.60,56.80,14.30,Kachchh,GJ,27.00,17.30,3.70,5.78,4.74,5.00,23.71
93.50,0.20,65.90,16.00,Kheda,GJ,32.00,22.90,3.12,4.37,3.75,4.00,14.98
85.60,0.60,75.10,28.50,Mahesana,GJ,42.40,36.00,2.36,2.78,2.57,1.00,2.57
93.50,0.30,59.00,6.00,Narmada,GJ,25.20,15.70,3.97,6.37,5.17,5.00,25.84
84.60,0.00,81.70,39.80,Navsari,GJ,46.00,47.70,2.17,2.10,2.14,1.00,2.14
91.40,2.10,58.10,17.70,Panchmahal,GJ,23.00,17.10,4.35,5.85,5.10,5.00,25.49
89.30,1.00,78.10,33.10,Patan,GJ,50.80,37.60,1.97,2.66,2.31,1.00,2.31
82.50,0.60,73.20,27.80,Porbandar,GJ,47.20,44.60,2.12,2.24,2.18,1.00,2.18
67.00,0.90,81.80,44.30,Rajkot,GJ,54.00,43.60,1.85,2.29,2.07,1.00,2.07
87.00,0.60,65.70,30.10,Sabarkantha,GJ,45.30,32.00,2.21,3.12,2.67,1.00,2.67
72.80,1.80,68.40,25.20,Surat,GJ,43.90,26.60,2.28,3.76,3.02,1.00,3.02
95.40,1.10,62.60,17.20,Surendranagar,GJ,31.90,24.30,3.13,4.12,3.63,1.00,3.63
94.40,0.60,64.20,21.50,Tapi,GJ,36.00,29.60,2.78,3.38,3.08,1.00,3.08
96.60,0.80,58.70,8.60,The Dangs,GJ,20.00,12.70,5.00,7.87,6.44,5.00,32.19
77.90,1.00,66.60,10.40,Vadodara,GJ,39.60,23.60,2.53,4.24,3.38,1.00,3.38
87.50,1.00,51.00,20.80,Valsad,GJ,20.80,24.10,4.81,4.15,4.48,5.00,22.39
40.10,0.80,83.60,61.40,Ambala,HR,67.30,70.10,1.49,1.43,1.46,1.00,1.46
47.90,0.20,80.60,61.00,Bhiwani,HR,64.40,75.80,1.55,1.32,1.44,1.00,1.44
24.80,3.20,68.80,52.90,Faridabad,HR,48.20,52.70,2.07,1.90,1.99,5.00,9.93
64.40,0.40,79.70,56.40,Fatehabad,HR,49.10,61.90,2.04,1.62,1.83,1.00,1.83
38.10,2.30,82.80,56.60,Gurugram,HR,61.10,62.90,1.64,1.59,1.61,1.00,1.61
46.00,1.30,76.20,51.00,Haryana,HR,54.40,60.70,1.84,1.65,1.74,1.00,1.74
35.80,0.30,82.70,57.00,Hisar,HR,58.10,64.50,1.72,1.55,1.64,1.00,1.64
34.60,0.40,82.70,68.40,Jhajjar,HR,62.80,77.30,1.59,1.29,1.44,1.00,1.44
48.20,0.00,77.50,51.60,Jind,HR,47.20,61.10,2.12,1.64,1.88,5.00,9.39
51.10,0.40,72.30,44.20,Kaithal,HR,61.00,65.50,1.64,1.53,1.58,1.00,1.58
43.50,1.60,71.20,42.90,Karnal,HR,48.10,51.20,2.08,1.95,2.02,5.00,10.08
39.20,0.10,82.70,51.70,Kurukshetra,HR,69.20,61.40,1.45,1.63,1.54,1.00,1.54
30.90,0.40,80.90,58.70,Mahendragarh,HR,67.40,74.80,1.48,1.34,1.41,1.00,1.41
68.30,5.70,57.50,19.70,Nuh,HR,28.00,30.30,3.57,3.30,3.44,5.00,17.18
38.70,2.50,77.10,50.30,Palwal,HR,57.90,57.80,1.73,1.73,1.73,1.00,1.73
61.70,0.90,78.60,55.90,Panchkula,HR,60.30,62.30,1.66,1.61,1.63,1.00,1.63
38.50,0.40,67.90,49.40,Panipat,HR,53.60,64.00,1.87,1.56,1.71,1.00,1.71
45.10,0.30,86.80,70.70,Rewari,HR,59.70,74.60,1.68,1.34,1.51,1.00,1.51
42.10,0.10,74.30,47.40,Rohtak,HR,53.40,65.30,1.87,1.53,1.70,1.00,1.70
55.40,0.30,73.00,51.50,Sirsa,HR,50.40,54.60,1.98,1.83,1.91,5.00,9.54
26.20,0.20,88.00,65.20,Sonipat,HR,73.60,73.50,1.36,1.36,1.36,1.00,1.36
47.80,0.40,76.30,38.00,Yamunanagar,HR,55.30,52.80,1.81,1.89,1.85,3.00,5.55
68.40,0.30,64.60,46.20,Bokaro,JH,37.50,52.60,2.67,1.90,2.28,1.00,2.28
79.70,0.20,62.50,58.80,Chatra,JH,32.20,58.80,3.11,1.70,2.40,1.00,2.40
89.00,1.00,51.50,33.00,Deoghar,JH,28.40,39.40,3.52,2.54,3.03,1.00,3.03
77.60,0.60,59.60,48.20,Dhanbad,JH,33.20,42.30,3.01,2.36,2.69,1.00,2.69
81.20,3.50,58.00,42.40,Dumka,JH,31.00,46.80,3.23,2.14,2.68,1.00,2.68
84.00,1.80,63.60,42.80,East Singhbhum,JH,38.80,50.00,2.58,2.00,2.29,1.00,2.29
80.80,2.00,59.50,39.00,Garhwa,JH,27.10,38.50,3.69,2.60,3.14,1.00,3.14
82.80,1.40,72.30,52.90,Giridih,JH,30.70,54.80,3.26,1.82,2.54,1.00,2.54
80.00,2.10,54.00,47.60,Godda,JH,21.50,39.70,4.65,2.52,3.59,5.00,17.93
62.40,1.60,59.30,20.30,Gumla,JH,38.10,32.70,2.62,3.06,2.84,1.00,2.84
52.00,0.20,83.90,63.10,Hazaribagh,JH,54.40,62.60,1.84,1.60,1.72,1.00,1.72
93.50,1.00,63.00,43.40,Jamtara,JH,25.90,27.80,3.86,3.60,3.73,5.00,18.65
71.40,2.60,68.30,23.70,Khunti,JH,33.80,31.90,2.96,3.13,3.05,1.00,3.05
62.10,0.50,75.80,69.50,Koderma,JH,48.20,60.60,2.07,1.65,1.86,1.00,1.86
85.40,1.10,59.70,35.20,Latehar,JH,33.00,32.40,3.03,3.09,3.06,1.00,3.06
85.40,0.20,63.50,37.40,Lohardaga,JH,25.70,46.70,3.89,2.14,3.02,1.00,3.02
91.70,2.40,50.00,32.30,Pakur,JH,19.10,30.60,5.24,3.27,4.25,5.00,21.26
88.90,0.30,53.90,41.80,Palamu,JH,27.10,36.40,3.69,2.75,3.22,1.00,3.22
58.90,0.40,70.30,50.30,Ramgarh,JH,36.90,52.70,2.71,1.90,2.30,1.00,2.30
60.50,0.00,62.50,37.70,Ranchi,JH,42.30,49.50,2.36,2.02,2.19,1.00,2.19
82.50,5.30,39.80,32.60,Sahibganj,JH,20.80,31.30,4.81,3.19,4.00,5.00,20.01
81.80,1.80,47.60,36.80,Saraikela-Kharsawan,JH,29.60,44.00,3.38,2.27,2.83,1.00,2.83
64.30,1.70,61.90,21.80,Simdega,JH,29.70,24.40,3.37,4.10,3.73,5.00,18.66
85.60,4.00,42.00,21.70,West Singhbhum,JH,22.40,31.00,4.46,3.23,3.85,5.00,19.23
55.10,1.80,55.90,28.80,Anantnag,JK,36.10,52.70,2.77,1.90,2.33,1.00,2.33
54.90,1.20,45.70,34.80,Badgam,JK,24.70,55.20,4.05,1.81,2.93,1.00,2.93
63.80,0.40,57.10,47.80,Bandipore,JK,29.30,54.30,3.41,1.84,2.63,1.00,2.63
46.10,0.60,65.40,35.90,Baramula,JK,35.60,61.70,2.81,1.62,2.21,1.00,2.21
73.20,0.30,43.40,27.50,Doda,JK,26.70,40.90,3.75,2.44,3.10,1.00,3.10
34.10,0.20,62.70,40.10,Ganderbal,JK,47.00,65.70,2.13,1.52,1.82,1.00,1.82
41.00,0.00,66.10,42.40,Jammu,JK,36.30,53.20,2.75,1.88,2.32,1.00,2.32
57.20,0.60,50.50,31.30,Jammu & Kashmir,JK,26.80,46.00,3.73,2.17,2.95,1.00,2.95
57.80,0.30,47.60,24.60,Kathua,JK,22.60,43.20,4.42,2.31,3.37,1.00,3.37
74.30,1.20,39.20,17.10,Kishtwar,JK,14.10,34.40,7.09,2.91,5.00,5.00,25.00
57.30,0.60,69.90,45.20,Kulgam,JK,38.00,60.60,2.63,1.65,2.14,1.00,2.14
57.90,0.30,48.70,38.20,Kupwara,JK,26.60,47.40,3.76,2.11,2.93,1.00,2.93
38.50,0.00,74.30,41.10,Pulwama,JK,43.70,66.70,2.29,1.50,1.89,1.00,1.89
71.00,1.30,31.60,17.30,Punch,JK,20.30,32.00,4.93,3.12,4.03,1.00,4.03
54.50,0.40,40.00,14.80,Rajouri,JK,18.50,24.90,5.41,4.02,4.71,5.00,23.55
72.20,0.60,44.10,32.40,Ramban,JK,17.10,37.20,5.85,2.69,4.27,5.00,21.34
80.30,0.00,43.40,29.10,Reasi,JK,16.40,30.60,6.10,3.27,4.68,5.00,23.41
36.00,0.60,49.90,39.30,Samba,JK,33.70,56.70,2.97,1.76,2.37,1.00,2.37
43.50,1.00,60.00,36.30,Shupiyan,JK,27.10,66.20,3.69,1.51,2.60,1.00,2.60
71.40,1.20,41.30,29.00,Udhampur,JK,13.20,32.20,7.58,3.11,5.34,5.00,26.70
72.80,0.50,57.50,46.60,Bagalkot,KA,20.80,39.30,4.81,2.54,3.68,1.00,3.68
76.40,0.10,36.80,24.80,Belgaum,KA,19.10,29.40,5.24,3.40,4.32,5.00,21.59
70.60,0.70,35.90,19.10,Bellary,KA,16.90,22.40,5.92,4.46,5.19,5.00,25.95
63.10,0.00,52.40,40.80,Bengaluru Rural,KA,17.30,44.70,5.78,2.24,4.01,1.00,4.01
45.60,0.00,56.40,46.20,Bengaluru Urban,KA,17.60,49.70,5.68,2.01,3.85,1.00,3.85
64.60,0.70,43.60,33.00,Bidar,KA,16.30,35.40,6.13,2.82,4.48,5.00,22.40
75.00,0.00,62.00,35.30,Chamarajanagar,KA,30.40,45.00,3.29,2.22,2.76,1.00,2.76
70.70,0.20,44.80,28.30,Chikkaballapur,KA,15.20,36.90,6.58,2.71,4.64,5.00,23.22
73.00,0.00,76.90,49.90,Chikkamagaluru,KA,46.00,53.20,2.17,1.88,2.03,1.00,2.03
80.10,0.00,48.80,36.50,Chitradurga,KA,18.90,52.20,5.29,1.92,3.60,1.00,3.60
60.40,0.00,74.70,40.80,Dakshina Kannada,KA,50.00,58.90,2.00,1.70,1.85,1.00,1.85
70.50,0.10,52.40,27.00,Davanagere,KA,23.70,43.70,4.22,2.29,3.25,1.00,3.25
73.80,0.00,58.60,38.50,Dharwad,KA,21.60,28.20,4.63,3.55,4.09,3.00,12.26
83.90,0.00,54.30,31.10,Gadag,KA,27.90,35.90,3.58,2.79,3.18,1.00,3.18
61.90,0.20,71.00,46.40,Hassan,KA,39.40,59.60,2.54,1.68,2.11,1.00,2.11
74.50,0.10,50.20,32.90,Haveri,KA,31.10,38.80,3.22,2.58,2.90,1.00,2.90
77.90,0.70,49.60,27.70,Kalaburagi,KA,20.00,24.20,5.00,4.13,4.57,5.00,22.83
52.00,0.90,74.10,39.60,Kodagu,KA,45.30,43.70,2.21,2.29,2.25,1.00,2.25
70.70,0.00,43.50,34.60,Kolar,KA,20.10,45.80,4.98,2.18,3.58,1.00,3.58
83.70,0.10,53.30,33.40,Koppal,KA,32.30,48.30,3.10,2.07,2.58,1.00,2.58
61.40,0.00,52.20,27.40,Mandya,KA,31.30,43.10,3.19,2.32,2.76,1.00,2.76
57.80,0.70,52.40,33.10,Mysuru,KA,23.80,38.60,4.20,2.59,3.40,1.00,3.40
87.80,0.50,34.60,18.50,Raichur,KA,11.70,19.50,8.55,5.13,6.84,5.00,34.19
56.70,0.00,61.30,38.20,Ramanagara,KA,29.20,57.10,3.42,1.75,2.59,1.00,2.59
70.90,0.20,62.40,38.80,Shivamogga,KA,39.50,51.30,2.53,1.95,2.24,1.00,2.24
70.60,0.70,57.30,34.10,Tumakuru,KA,30.80,44.40,3.25,2.25,2.75,1.00,2.75
55.60,0.00,85.90,64.20,Udupi,KA,57.80,80.60,1.73,1.24,1.49,1.00,1.49
78.50,0.00,82.90,61.00,Uttara Kannada,KA,66.40,75.70,1.51,1.32,1.41,1.00,1.41
63.30,1.20,53.60,33.40,Vijayapura,KA,21.80,33.30,4.59,3.00,3.80,1.00,3.80
86.00,0.70,48.40,22.80,Yadgir,KA,9.50,37.10,10.53,2.70,6.61,5.00,33.05
34.80,0.20,81.90,45.10,Alappuzha,KL,65.00,48.40,1.54,2.07,1.80,1.00,1.80
20.60,0.10,80.20,41.00,Ernakulam,KL,50.10,57.20,2.00,1.75,1.87,1.00,1.87
26.40,0.20,69.40,36.30,Idukki,KL,41.10,44.70,2.43,2.24,2.34,5.00,11.68
30.60,0.00,87.00,44.70,Kannur,KL,74.70,49.00,1.34,2.04,1.69,1.00,1.69
67.10,0.00,76.50,23.10,Kasaragod,KL,56.20,49.10,1.78,2.04,1.91,1.00,1.91
44.50,0.10,77.60,36.50,Kerala,KL,56.70,47.60,1.76,2.10,1.93,1.00,1.93
50.20,0.00,78.90,50.80,Kollam,KL,53.70,47.50,1.86,2.11,1.98,1.00,1.98
26.70,0.00,72.60,32.50,Kottayam,KL,47.90,50.90,2.09,1.96,2.03,4.00,8.10
36.90,0.20,80.90,36.90,Kozhikode,KL,57.10,49.40,1.75,2.02,1.89,1.00,1.89
60.30,0.20,74.50,21.70,Malappuram,KL,62.30,40.50,1.61,2.47,2.04,5.00,10.19
54.90,0.00,75.90,36.80,Palakkad,KL,58.40,46.40,1.71,2.16,1.93,1.00,1.93
37.80,0.00,84.70,41.00,Pathanamthitta,KL,58.00,46.30,1.72,2.16,1.94,1.00,1.94
50.90,0.00,83.70,53.80,Thiruvananthapuram,KL,61.30,59.70,1.63,1.68,1.65,1.00,1.65
32.00,0.00,80.20,42.00,Thrissur,KL,63.80,45.90,1.57,2.18,1.87,1.00,1.87
56.90,0.10,73.70,19.80,Wayanad,KL,51.40,42.10,1.95,2.38,2.16,5.00,10.80
42.30,0.90,79.40,30.50,Ahmadnagar,MH,64.10,47.90,1.56,2.09,1.82,1.00,1.82
52.50,0.00,48.40,25.90,Akola,MH,33.60,45.60,2.98,2.19,2.58,1.00,2.58
60.90,0.00,49.30,22.40,Amravati,MH,23.30,32.90,4.29,3.04,3.67,5.00,18.33
65.00,0.20,73.70,37.70,Aurangabad,MH,55.00,44.00,1.82,2.27,2.05,1.00,2.05
71.00,0.20,47.60,22.00,Bhandara,MH,34.50,43.30,2.90,2.31,2.60,3.00,7.81
52.70,0.00,70.90,32.10,Bid,MH,45.60,41.90,2.19,2.39,2.29,1.00,2.29
68.70,0.00,61.90,36.10,Buldana,MH,45.90,33.90,2.18,2.95,2.56,1.00,2.56
72.10,0.00,67.60,36.20,Chandrapur,MH,51.20,48.40,1.95,2.07,2.01,1.00,2.01
68.60,0.80,54.70,14.20,Dhule,MH,41.40,23.70,2.42,4.22,3.32,5.00,16.59
81.50,0.10,57.90,38.80,Gadchiroli,MH,36.30,38.20,2.75,2.62,2.69,5.00,13.43
75.50,0.00,75.30,52.10,Gondiya,MH,50.30,44.20,1.99,2.26,2.13,1.00,2.13
83.40,0.30,68.60,42.10,Hingoli,MH,43.60,52.60,2.29,1.90,2.10,1.00,2.10
41.60,0.70,45.20,25.50,Jalgaon,MH,28.70,40.50,3.48,2.47,2.98,5.00,14.88
51.40,0.20,73.30,42.50,Jalna,MH,50.30,54.10,1.99,1.85,1.92,1.00,1.92
59.40,0.00,80.10,44.50,Kolhapur,MH,60.20,50.00,1.66,2.00,1.83,1.00,1.83
55.60,0.20,65.60,32.40,Latur,MH,47.10,37.80,2.12,2.65,2.38,1.00,2.38
60.90,0.40,69.40,35.40,Maharashtra,MH,50.30,46.20,1.99,2.16,2.08,1.00,2.08
48.20,0.00,73.80,41.70,Nagpur,MH,42.50,56.00,2.35,1.79,2.07,1.00,2.07
61.70,0.40,63.90,44.90,Nanded,MH,33.40,43.20,2.99,2.31,2.65,5.00,13.27
65.00,0.50,49.30,17.20,Nandurbar,MH,26.60,16.70,3.76,5.99,4.87,5.00,24.37
68.80,0.50,59.60,16.40,Nashik,MH,45.70,32.30,2.19,3.10,2.64,5.00,13.21
63.90,0.40,83.80,48.00,Osmanabad,MH,61.80,46.30,1.62,2.16,1.89,1.00,1.89
79.90,0.00,83.80,34.20,Parbhani,MH,60.30,52.30,1.66,1.91,1.79,1.00,1.79
57.50,1.00,87.10,41.50,Pune,MH,76.30,57.60,1.31,1.74,1.52,1.00,1.52
50.00,2.30,72.80,33.60,Raigarh,MH,45.60,45.60,2.19,2.19,2.19,1.00,2.19
61.10,0.00,84.70,45.60,Ratnagiri,MH,66.30,67.30,1.51,1.49,1.50,1.00,1.50
65.90,0.00,68.00,32.10,Sangli,MH,57.20,58.10,1.75,1.72,1.73,1.00,1.73
60.00,0.20,90.40,63.50,Satara,MH,79.30,84.70,1.26,1.18,1.22,1.00,1.22
77.20,0.00,91.50,51.80,Sindhudurg,MH,81.00,71.60,1.23,1.40,1.32,1.00,1.32
52.00,0.30,77.30,36.90,Solapur,MH,55.30,48.70,1.81,2.05,1.93,1.00,1.93
84.10,0.20,73.10,41.40,Thane,MH,43.80,41.30,2.28,2.42,2.35,1.00,2.35
52.30,0.00,75.70,47.40,Wardha,MH,48.40,53.30,2.07,1.88,1.97,1.00,1.97
